INSERT INTO MECZE VALUES ('1', '17', '14', '5', '5', to_date('22.6.2013', 'dd/mm/yyyy'), '1');
INSERT INTO MECZE VALUES ('233', '1', '9', '3', '0', to_date('22.11.2013', 'dd/mm/yyyy'), '26');
INSERT INTO MECZE VALUES ('234', '16', '16', '5', '1', to_date('22.11.2013', 'dd/mm/yyyy'), '26');
INSERT INTO MECZE VALUES ('235', '7', '17', '1', '3', to_date('29.11.2013', 'dd/mm/yyyy'), '27');
INSERT INTO MECZE VALUES ('236', '2', '4', '3', '2', to_date('29.11.2013', 'dd/mm/yyyy'), '27');
INSERT INTO MECZE VALUES ('237', '16', '6', '3', '3', to_date('29.11.2013', 'dd/mm/yyyy'), '27');
INSERT INTO MECZE VALUES ('238', '9', '8', '2', '2', to_date('29.11.2013', 'dd/mm/yyyy'), '27');
INSERT INTO MECZE VALUES ('239', '3', '15', '5', '4', to_date('29.11.2013', 'dd/mm/yyyy'), '27');
INSERT INTO MECZE VALUES ('240', '1', '13', '4', '1', to_date('29.11.2013', 'dd/mm/yyyy'), '27');
INSERT INTO MECZE VALUES ('241', '14', '5', '1', '5', to_date('29.11.2013', 'dd/mm/yyyy'), '27');
INSERT INTO MECZE VALUES ('242', '12', '11', '3', '2', to_date('29.11.2013', 'dd/mm/yyyy'), '27');
INSERT INTO MECZE VALUES ('243', '10', '10', '4', '3', to_date('29.11.2013', 'dd/mm/yyyy'), '27');
INSERT INTO MECZE VALUES ('244', '7', '11', '5', '4', to_date('1.12.2013', 'dd/mm/yyyy'), '28');
INSERT INTO MECZE VALUES ('245', '16', '9', '4', '2', to_date('1.12.2013', 'dd/mm/yyyy'), '28');
INSERT INTO MECZE VALUES ('246', '4', '1', '1', '1', to_date('1.12.2013', 'dd/mm/yyyy'), '28');
INSERT INTO MECZE VALUES ('247', '13', '5', '5', '1', to_date('1.12.2013', 'dd/mm/yyyy'), '28');
INSERT INTO MECZE VALUES ('248', '6', '10', '2', '5', to_date('1.12.2013', 'dd/mm/yyyy'), '28');
INSERT INTO MECZE VALUES ('249', '15', '14', '0', '0', to_date('1.12.2013', 'dd/mm/yyyy'), '28');
INSERT INTO MECZE VALUES ('250', '2', '8', '0', '2', to_date('1.12.2013', 'dd/mm/yyyy'), '28');
INSERT INTO MECZE VALUES ('251', '17', '12', '3', '4', to_date('1.12.2013', 'dd/mm/yyyy'), '28');
INSERT INTO MECZE VALUES ('252', '3', '3', '3', '5', to_date('1.12.2013', 'dd/mm/yyyy'), '28');
INSERT INTO MECZE VALUES ('253', '6', '10', '4', '0', to_date('8.12.2013', 'dd/mm/yyyy'), '29');
INSERT INTO MECZE VALUES ('254', '15', '5', '3', '2', to_date('8.12.2013', 'dd/mm/yyyy'), '29');
INSERT INTO MECZE VALUES ('255', '7', '3', '3', '4', to_date('8.12.2013', 'dd/mm/yyyy'), '29');
INSERT INTO MECZE VALUES ('256', '14', '17', '5', '3', to_date('8.12.2013', 'dd/mm/yyyy'), '29');
INSERT INTO MECZE VALUES ('257', '11', '16', '0', '1', to_date('8.12.2013', 'dd/mm/yyyy'), '29');
INSERT INTO MECZE VALUES ('258', '13', '1', '1', '3', to_date('8.12.2013', 'dd/mm/yyyy'), '29');
INSERT INTO MECZE VALUES ('259', '2', '8', '0', '4', to_date('8.12.2013', 'dd/mm/yyyy'), '29');
INSERT INTO MECZE VALUES ('260', '9', '12', '3', '4', to_date('8.12.2013', 'dd/mm/yyyy'), '29');
INSERT INTO MECZE VALUES ('261', '4', '4', '0', '1', to_date('8.12.2013', 'dd/mm/yyyy'), '29');
INSERT INTO MECZE VALUES ('262', '16', '12', '2', '5', to_date('15.12.2013', 'dd/mm/yyyy'), '30');
INSERT INTO MECZE VALUES ('263', '14', '3', '4', '1', to_date('15.12.2013', 'dd/mm/yyyy'), '30');
INSERT INTO MECZE VALUES ('264', '15', '9', '3', '2', to_date('15.12.2013', 'dd/mm/yyyy'), '30');
INSERT INTO MECZE VALUES ('265', '7', '2', '5', '2', to_date('15.12.2013', 'dd/mm/yyyy'), '30');
INSERT INTO MECZE VALUES ('266', '5', '1', '5', '2', to_date('15.12.2013', 'dd/mm/yyyy'), '30');
INSERT INTO MECZE VALUES ('267', '13', '17', '4', '5', to_date('15.12.2013', 'dd/mm/yyyy'), '30');
INSERT INTO MECZE VALUES ('268', '11', '4', '1', '2', to_date('15.12.2013', 'dd/mm/yyyy'), '30');
INSERT INTO MECZE VALUES ('269', '10', '6', '4', '5', to_date('15.12.2013', 'dd/mm/yyyy'), '30');
INSERT INTO MECZE VALUES ('270', '8', '8', '0', '2', to_date('15.12.2013', 'dd/mm/yyyy'), '30');
INSERT INTO MECZE VALUES ('271', '11', '17', '3', '4', to_date('22.12.2013', 'dd/mm/yyyy'), '31');
INSERT INTO MECZE VALUES ('272', '8', '3', '0', '2', to_date('22.12.2013', 'dd/mm/yyyy'), '31');
INSERT INTO MECZE VALUES ('273', '6', '5', '0', '3', to_date('22.12.2013', 'dd/mm/yyyy'), '31');
INSERT INTO MECZE VALUES ('274', '4', '15', '4', '0', to_date('22.12.2013', 'dd/mm/yyyy'), '31');
INSERT INTO MECZE VALUES ('275', '13', '10', '2', '3', to_date('22.12.2013', 'dd/mm/yyyy'), '31');
INSERT INTO MECZE VALUES ('276', '7', '14', '2', '1', to_date('22.12.2013', 'dd/mm/yyyy'), '31');
INSERT INTO MECZE VALUES ('277', '2', '9', '2', '2', to_date('22.12.2013', 'dd/mm/yyyy'), '31');
INSERT INTO MECZE VALUES ('278', '16', '16', '4', '1', to_date('22.12.2013', 'dd/mm/yyyy'), '31');
INSERT INTO MECZE VALUES ('279', '12', '1', '4', '3', to_date('22.12.2013', 'dd/mm/yyyy'), '31');
INSERT INTO MECZE VALUES ('280', '9', '17', '5', '0', to_date('29.12.2013', 'dd/mm/yyyy'), '32');
INSERT INTO MECZE VALUES ('281', '7', '16', '0', '4', to_date('29.12.2013', 'dd/mm/yyyy'), '32');
INSERT INTO MECZE VALUES ('282', '14', '5', '2', '3', to_date('29.12.2013', 'dd/mm/yyyy'), '32');
INSERT INTO MECZE VALUES ('283', '15', '11', '3', '5', to_date('29.12.2013', 'dd/mm/yyyy'), '32');
INSERT INTO MECZE VALUES ('284', '8', '1', '3', '2', to_date('29.12.2013', 'dd/mm/yyyy'), '32');
INSERT INTO MECZE VALUES ('285', '3', '6', '5', '2', to_date('29.12.2013', 'dd/mm/yyyy'), '32');
INSERT INTO MECZE VALUES ('286', '13', '4', '1', '2', to_date('29.12.2013', 'dd/mm/yyyy'), '32');
INSERT INTO MECZE VALUES ('287', '2', '12', '0', '3', to_date('29.12.2013', 'dd/mm/yyyy'), '32');
INSERT INTO MECZE VALUES ('288', '10', '10', '5', '2', to_date('29.12.2013', 'dd/mm/yyyy'), '32');
INSERT INTO MECZE VALUES ('289', '1', '5', '1', '0', to_date('1.1.2014', 'dd/mm/yyyy'), '33');
INSERT INTO MECZE VALUES ('290', '2', '2', '0', '0', to_date('1.1.2014', 'dd/mm/yyyy'), '33');
INSERT INTO MECZE VALUES ('291', '3', '8', '1', '3', to_date('1.1.2014', 'dd/mm/yyyy'), '33');
INSERT INTO MECZE VALUES ('292', '10', '15', '5', '1', to_date('1.1.2014', 'dd/mm/yyyy'), '33');
INSERT INTO MECZE VALUES ('293', '13', '9', '0', '4', to_date('1.1.2014', 'dd/mm/yyyy'), '33');
INSERT INTO MECZE VALUES ('294', '11', '12', '2', '1', to_date('1.1.2014', 'dd/mm/yyyy'), '33');
INSERT INTO MECZE VALUES ('295', '14', '17', '0', '0', to_date('1.1.2014', 'dd/mm/yyyy'), '33');
INSERT INTO MECZE VALUES ('296', '16', '7', '3', '0', to_date('1.1.2014', 'dd/mm/yyyy'), '33');
INSERT INTO MECZE VALUES ('297', '4', '6', '1', '1', to_date('1.1.2014', 'dd/mm/yyyy'), '33');
INSERT INTO MECZE VALUES ('298', '6', '12', '1', '3', to_date('8.1.2014', 'dd/mm/yyyy'), '34');
INSERT INTO MECZE VALUES ('299', '3', '4', '4', '4', to_date('8.1.2014', 'dd/mm/yyyy'), '34');
INSERT INTO MECZE VALUES ('300', '2', '1', '0', '4', to_date('8.1.2014', 'dd/mm/yyyy'), '34');
INSERT INTO MECZE VALUES ('301', '10', '14', '3', '0', to_date('8.1.2014', 'dd/mm/yyyy'), '34');
INSERT INTO MECZE VALUES ('302', '5', '13', '1', '3', to_date('8.1.2014', 'dd/mm/yyyy'), '34');
INSERT INTO MECZE VALUES ('303', '7', '9', '4', '3', to_date('8.1.2014', 'dd/mm/yyyy'), '34');
INSERT INTO MECZE VALUES ('304', '8', '17', '4', '0', to_date('8.1.2014', 'dd/mm/yyyy'), '34');
INSERT INTO MECZE VALUES ('305', '15', '16', '4', '2', to_date('8.1.2014', 'dd/mm/yyyy'), '34');
INSERT INTO MECZE VALUES ('306', '11', '11', '3', '4', to_date('8.1.2014', 'dd/mm/yyyy'), '34');
